Statement,Link,Date, Source, Label
"‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.”,https://www.politifact.com/factchecks/2020/dec/23/facebook-posts/bogus-analysis-leads-ridiculous-claim-about-biden-/,mber 23^ 2020,Facebook posts,pants-fire
Says COVID-19 relief bill “provides more funding to foreign governments and to American arts centers^ than to the American people.”,https://www.politifact.com/factchecks/2020/dec/22/facebook-posts/facebook-posts-wrongly-say-covid-19-bill-includes-/,mber 22^ 2020,Facebook posts,barely-true
“CDC COVID-19 survival rates” are 99.997% for people ages 0 to 19^ 99.98% for people ages 20 to 49^ 99.5% for people ages 50 to 69^ and 94.6% for people over 70.,https://www.politifact.com/factchecks/2020/dec/22/tweets/viral-tweet-cites-made-cdc-covid-19-survival-rates/,mber 22^ 2020,Tweets,false
Says that the oil and gas industry comprises 35% of the Texas economy.,https://www.politifact.com/factchecks/2020/dec/22/christi-craddick/examining-texas-oil-and-gas-industry-amid-pandemic/,mber 22^ 2020,Christi Craddick,mostly-true
“Dead people also voted.”,https://www.politifact.com/factchecks/2020/dec/22/claudia-tenney/ny-22-some-voters-cast-ballots-mail-and-died-elect/,mber 22^ 2020,Claudia Tenney,pants-fire
“Nurse passes out on live TV after taking vaccine.”,https://www.politifact.com/factchecks/2020/dec/21/facebook-posts/anti-vaccine-video-fainting-nurse-lacks-context/,mber 21^ 2020,Facebook posts,barely-true
Chief Justice John Roberts visited Jeffrey Epstein's private island.,https://www.politifact.com/factchecks/2020/dec/21/facebook-posts/no-viral-photo-doesnt-show-chief-justice-john-robe/,mber 21^ 2020,Facebook posts,false
“This is a phony pandemic.”,https://www.politifact.com/factchecks/2020/dec/21/bob-good/contrary-global-experts-bob-good-says-pandemic-pho/,mber 21^ 2020,Bob Good,pants-fire
“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,https://www.politifact.com/factchecks/2020/dec/21/chris-larson/yes-majority-wisconsin-jurisdictions-support-nonpa/,mber 21^ 2020,Chris Larson,true
"New data shows in-person learning isn't driving spikes in cases.",https://www.politifact.com/factchecks/2020/dec/18/mike-gallagher/data-shows-person-learning-safer-expected-not-driv/,mber 18^ 2020,Mike Gallagher,true
Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/no-new-coronavirus-vaccines-are-not-more-dangerous/,mber 18^ 2020,Facebook posts,pants-fire
“21% of people are having serious adverse events from (the Moderna) vaccine.”,https://www.politifact.com/factchecks/2020/dec/18/blog-posting/video-shared-facebook-inflates-risk-moderna-vaccin/,mber 18^ 2020,Bloggers,false
Says that guidance urging vaccinated people to avoid travel and continue wearing masks is "profoundly anti-science.",https://www.politifact.com/factchecks/2020/dec/18/ted-cruz/mask-guidance-vaccinated-people-based-science/,mber 18^ 2020,Ted Cruz,pants-fire
A 2018 executive order gives Trump the ability to impose martial law,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/president-united-states-cant-unilaterally-impose-m/,mber 18^ 2020,Facebook posts,pants-fire
President Donald Trump will hold his inauguration for a second term at Mar-a-Lago,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/dont-fall-fake-post-trump-will-hold-inauguration-m/,mber 18^ 2020,Facebook posts,pants-fire
Say North Carolina Gov. Roy Cooper was arrested for drinking while intoxicated in Stanly County.,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/no-roy-cooper-did-not-get-dui-stanly-county/,mber 18^ 2020,Facebook posts,false
Says Raphael Warnock has "said we need to open up the prisons" and "eliminate cash bail.",https://www.politifact.com/factchecks/2020/dec/18/kelly-loeffler/ga-race-kelly-loeffler-distorts-raphael-warnocks-s/,mber 18^ 2020,Kelly Loeffler,barely-true
A Georgia Bureau of Investigation agent was killed for investigating the election.,https://www.politifact.com/factchecks/2020/dec/17/facebook-posts/no-georgia-agent-wasnt-killed-investigating-electi/,mber 17^ 2020,Facebook posts,false
“Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.”,https://www.politifact.com/factchecks/2020/dec/17/mike-parson/how-safe-are-schools-covid-19-mitigation-strategie/,mber 17^ 2020,Mike Parson,mostly-true
“Millions of Hubbell and Bloomberg dollars wasn’t enough to overcome the Iowa House Republican avalanche of success.",https://www.politifact.com/factchecks/2020/dec/17/iowa-republican-party/fred-hubbell-donated-big-iowa-dems-mike-bloomberg-/,mber 17^ 2020,Iowa Republican Party,half-true
